,Manufacturer,year,DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,Label
25567,DA,19,"Gps localization is incorrect, lane off-set to large, AV was driving towards edge of the lane. As a result, the driver safely disengaged and resumed manual control.",
25555,DA,19,"AV was speeding up incorrectly. As a result, the driver safely disengaged and resumed manual control.",
25586,DA,19,"Construction on the Road, AV couldn't continue with planned test. As a result, the driver safely disengaged and resumed manual control.",
25574,DA,19,"AV was not braking correctly at a traffic light intersection. As a result, the driver safely disengaged and resumed manual control.",
21668,CW,18,"Localization Discrepancy: The discrepancy is due to lack of sufficient evidence for accurate localization across multiple localization components, including lack of accurate GPS, lack of sufficient geometric signature of the road, lack of sufficient LiDar point features, poor IMU performance, etc. This discrepancy is geo-location related.",
21669,CW,19,Planning Discrepancy: Autonomous vehicle is approaching the intersection while a front vehicle has already stopped at the stop line for the red light. The lane is very wide (as wide as two lanes) which caused the autonomous vehicle to decide to maneuver to the right side of the front vehicle and stop in parallel to it. This behavior was perceived to be overly aggressive by the safety driver therefore he disengaged the system as it started maneuvering to the right.,
21670,CW,19,"Localization Discrepancy: The discrepancy is due to lack of sufficient evidence for accurate localization across multiple localization components, including lack of accurate GPS, lack of sufficient geometric signature of the road, lack of sufficient LiDar point features, poor IMU performance, etc. This discrepancy is geo-location related.",
25597,DB,18,"Disengage for undesired motion planning behavior, undesired lateral avoiding when driving in traffic jam",
25629,DB,19,"System Fault, excessive system load",
25618,DB,19,"Disengage for perception discrepancy, didn't recognize the surrounding vehicles when traffic jam ",
25625,DB,19,"Disengage for undesired motion planning behavior, too large curvature",
25640,DB,19,"Disengage for undesired motion planning behavior, off centerline of lanemark in curve",
25613,DB,19,"Disengage for unwanted maneuver, not slow down in time when meeting a cut-in vehicle",
25638,DB,19,"Disengage for unwanted maneuver, did not slow down in time when meeting an accident",
25644,DB,19,"Disengage for undesired motion planning behavior, undesired braking when the traffic light is green",
25623,DB,19,"Disengage for undesired motion planning behavior, took too long time to change the lane",
25635,DB,19,"Disengage for perception discrepancy, did not recognize obstacle status correctly",
25663,DB,19,"Disengage for unwanted maneuver, no lateral avoidance for close-line truck",
25664,DB,19,"Disengage for undesired motion planning behavior, too large curvature",
25620,DB,19,"Disengage for undesired motion planning behavior, did not slow down when meeting a cut-in vehicle",
25627,DB,19,"Disengage for perception discrepancy, ran too close to a pedestrian",
25656,DB,19,"Disengage for undesired motion planning behavior,  did not slow down enough when the front car  brakes suddenly",
25648,DB,19,"Disengage for undesired motion planning behavior, did not slow down when meeting a cut-in vehicle",
25607,DB,19,"Disengage for undesired motion planning behavior, took too long time to change the lane",
25602,DB,19,"Disengage for undesired motion planning behavior, too large curvature road",
25657,DB,19,"Disengage for unwanted maneuver, no lateral avoidance for close-line car",
25626,DB,19,"Disengage for undesired motion planning behavior, undesired braking when overtaking a bus",
14202,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
14178,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
14180,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
14127,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines,
14159,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
14209,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
14176,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines,
14168,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines,
14183,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
14122,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines,
14119,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines,
14151,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
14124,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue pertinent to the compute infrastructure sub-system,
14196,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
14150,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue within the Autonomous Vehicle's (AV) controller interface sub-system,
14110,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines,
14147,BD,22,Precautionary Takeover: Disengaged due to a vehicle platform software issue related to the sensor data processing pipelines,
